,url,location,bed,bath,area,price
6458,https://www.rumah.com/listing-properti/dijual-bintaro-jaya-sektor-9-taman-puri-bintaro-oleh-alexa-21795894,"Jl Bintaro Jaya Sektor 9 -Taman Puri Bintaro, Bintaro, Tangerang Selatan, Banten",7.0,5.0,400 m²,8 M
2552,https://www.rumah.com/listing-properti/dijual-rumah-minimalis-di-jual-murah-tanpa-dp-di-pamulang-sudah-smart-home-system-dan-listrik-solar-panel-oleh-ahmad-yusuf-lubis-21817107,"jln.Inpres Pamulang, Pamulang, Tangerang Selatan, Banten",3.0,2.0,52 m²,"1,099 M"
811,https://www.rumah.com/listing-properti/dijual-rumah-dalam-komplek-puri-bintaro-sektor-9-lingkungan-aman-dan-nyaman-oleh-endang-kumalasari-21781288,"Bintaro, Tangerang Selatan, Banten",5.0,4.0,120 m²,"2,65 M"
20732,https://www.rumah.com/listing-properti/dijual-rumah-hommy-di-sektor-9-bintaro-jaya-3-5-m-3614-oc-oleh-roni-21677300,"Bintaro, Tangerang Selatan, Banten",4.0,3.0,200 m²,"3,5 M"
14814,https://www.rumah.com/listing-properti/dijual-dijual-murah-rumah-di-cluster-sevilla-bsd-city-tangsel-oleh-fanny-beatrix-21735961,"CLUSTER SEVILLA BSD CITY - TANGERANG SELATAN, BSD, Tangerang Selatan, Banten",3.0,1.0,80 m²,"1,45 M"
4054,https://www.rumah.com/listing-properti/dijual-dijual-rumah-baru-2-lantai-lokasi-10-menit-ke-plaza-ciputat-oleh-yadi-21691303,"Ciputat timur, Ciputat Timur, Tangerang Selatan, Banten",3.0,2.0,55 m²,650 jt
138,https://www.rumah.com/listing-properti/dijual-griya-loka-lengkong-gudang-timur-serpong-tangerang-selatan-oleh-kardi-poenadi-21825784,"Griya Loka, BSD, Tangerang Selatan, Banten",4.0,3.0,140 m²,"2,749999999 M"
14573,https://www.rumah.com/listing-properti/dijual-rumah-dijual-baru-eminent-bsd-city-tangerang-selatan-oleh-ben-wisesa-20364744,"Eminent, BSD, Tangerang Selatan, Banten",4.0,3.0,150 m²,"3,4 M"
11630,https://www.rumah.com/listing-properti/dijual-bsd-griya-loka-oleh-heny-erawati-20999787,"BSD, Tangerang Selatan, Banten",2.0,1.0,105 m²,"1,395 M"
3760,https://www.rumah.com/listing-properti/dijual-rumah-mewah-harga-menarik-di-bsd-oleh-nina-m-iriana-19559609,"Jl. Komp. Taman Propince, Serpong, Tangerang Selatan, Banten",4.0,4.0,250 m²,"8,5 M"
19361,https://www.rumah.com/listing-properti/dijual-dijual-rumah-asri-2-lantai-luas-tanah-132-di-permata-adora-10011-dm-oleh-gabie-21690571,"Permata Adora, Bintaro, Tangerang Selatan, Banten",4.0,4.0,210 m²,"2,8 M"
14661,https://www.rumah.com/listing-properti/dijual-ciputat-timur-oleh-kartini-kartodihardjo-21737479,"JL cirendeu raya, Ciputat Timur, Tangerang Selatan, Banten",3.0,2.0,92 m²,"1,529 M"
23141,https://www.rumah.com/listing-properti/dijual-hunian-elegant-lake-view-mozart-at-summarecon-gading-serpong-mulai-4man-oleh-ari-kurniawan-sepriansyah-21652006,"Medang, Kabupaten Tangerang, Banten, BSD, Tangerang Selatan, Banten",3.0,3.0,196 m²,"4,74487 M"
6719,https://www.rumah.com/listing-properti/dijual-rumah-harvest-oleh-tuti-setiyawati-19184618,"Jl.Wr Supratman, Ciputat, Bintaro, Tangerang Selatan, Banten",5.0,2.0,128 m²,"2,1 M"
3351,https://www.rumah.com/listing-properti/dijual-grha-hijau-2-oleh-wiwiek-winsuno-16431859,"Jalan Kampung Utan, Bintaro, Tangerang Selatan, Banten",2.0,3.0,200 m²,4 M
14940,https://www.rumah.com/listing-properti/dijual-bintaro-jaya-sektor-9-oleh-ropiah-21341675,"Bintaro Jaya Sektor 9, Bintaro, Tangerang Selatan, Banten",6.0,5.0,140 m²,"3,5 M"
13924,https://www.rumah.com/listing-properti/dijual-lippo-karawaci-paris-oleh-olivia-21743764,"Lippo karawaci Taman paris, Serpong, Tangerang Selatan, Banten",2.0,1.0,60 m²,670 jt
3944,https://www.rumah.com/listing-properti/dijual-rumah-2-lantai-dekat-tol-parigi-dan-alam-sutera-tangsel-oleh-adelina-21447279,"Ciputat, Tangerang Selatan, Banten",3.0,2.0,73 m²,"1,26855 M"
21228,https://www.rumah.com/listing-properti/dijual-hunian-4-kmr-tidur-dekat-axis-pintu-tol-pamulang-ciputat-oleh-ardiyanto-alfarisi-21658712,"Jl. Raya Ciputat - Parung, Ciputat, Tangerang Selatan, Banten",4.0,4.0,149 m²,2 M
